Citing Journal Data,,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2016,2015,2014,2013,2012,2011,2010,2009,2008,,2007,Rest
1, ,ALL Journals,3917,45,142,234,240,221,249,204,186,208,,157,2031
2, ,ALL OTHERS (765),765,8,31,48,63,57,55,38,39,26,,30,370
3,2.642,INT J FORECASTING,315,27,26,47,18,10,25,8,15,23,,9,107
4,1.633,J ECONOMETRICS,166,0,7,8,5,6,13,6,2,10,,16,93
5,1.658,J BUS ECON STAT,124,0,4,5,3,11,9,1,10,7,,4,70
6,2.117,J APPL ECONOMET,93,0,1,6,11,5,8,22,5,0,,4,31
7,3.379,ECONOMETRICA,85,0,0,0,1,1,4,1,2,2,,2,72
8,0.747,J FORECASTING,85,0,1,5,8,4,4,4,8,4,,1,46
9, ,J AM STAT ASSOC,84,0,1,2,0,4,3,2,4,2,,7,59
10,3.689,REV FINANC STUD,56,0,1,0,0,2,3,4,7,15,,3,21
11,6.043,J FINANC,55,0,0,1,3,1,1,1,1,1,,1,45
12,4.505,J FINANC ECON,49,0,0,0,0,3,5,1,1,0,,4,35
13,2.926,REV ECON STAT,48,0,3,1,3,6,0,3,0,2,,1,29
14,1.776,J BANK FINANC,44,0,0,8,6,4,2,4,1,5,,1,13
15,2.110,J MONETARY ECON,41,0,0,1,0,0,0,2,1,9,,5,23
16,1.800,J FINANC ECONOMET,37,1,4,0,1,1,3,2,5,4,,1,15
17, ,COMPUT STAT DATA AN,36,0,1,1,2,7,0,2,3,5,,5,10
18, ,IEEE T POWER SYST,36,0,0,1,0,4,1,4,1,3,,4,18
19, ,J R STAT SOC B,36,0,0,0,0,0,0,1,1,1,,2,31
20,4.026,AM ECON REV,34,0,1,0,1,2,1,1,0,4,,0,24
21, ,ANN STAT,33,0,0,0,0,1,2,0,0,0,,0,30
22, ,WORKING PAP,32,0,2,5,9,6,1,1,2,1,,0,5
23,1.333,ECONOMET REV,31,0,2,0,2,1,0,5,2,2,,5,12
24,1.509,J MONEY CREDIT BANK,31,0,1,0,0,0,2,1,3,0,,4,20
25,0.979,J EMPIR FINANC,28,0,0,2,2,0,1,3,0,5,,0,15
26,2.822,MANAGE SCI,27,0,0,3,1,3,3,0,0,4,,0,13
27, ,HANDB EC FORECASTING,26,0,0,0,6,1,0,0,0,0,,0,19
28, ,BIOMETRIKA,25,0,1,0,1,0,0,0,0,0,,0,23
29,0.558,ECON LETT,25,0,1,4,3,3,1,2,1,0,,0,10
30,3.199,ENERG ECON,25,0,2,2,2,2,3,7,1,2,,0,4
31,1.773,INT ECON REV,25,0,0,0,0,2,0,0,2,0,,0,21
32,3.923,J POLIT ECON,24,0,0,0,0,4,1,0,1,0,,0,18
33,1.000,J ECON DYN CONTROL,23,0,0,1,1,1,5,0,2,0,,2,11
34,1.138,OXFORD B ECON STAT,21,0,0,1,3,2,1,2,2,1,,0,9
35,0.513,ECONOMET J,19,0,1,0,0,0,4,0,4,0,,0,10
36,2.042,J INT ECON,17,0,0,0,1,3,0,1,1,2,,0,9
37,1.077,J OPER RES SOC,17,0,2,0,0,0,2,0,3,1,,0,9
38,1.011,ECONOMET THEOR,16,0,2,0,3,0,0,2,1,1,,0,7
39, ,MACH LEARN,16,0,0,0,1,0,0,0,0,1,,0,14
40, ,J BUS,15,0,0,0,0,0,0,0,0,0,,0,15
41,0.645,EMPIR ECON,14,0,1,0,3,2,0,1,0,1,,0,6
42, ,IEEE T SMART GRID,14,0,2,11,1,0,0,0,0,0,,0,0
43,1.853,J INT MONEY FINANC,14,1,1,0,2,1,0,2,0,1,,0,6
44,6.662,Q J ECON,14,0,0,0,0,0,0,0,0,0,,0,14
45, ,EUR J OPER RES,13,0,1,3,2,0,0,2,0,0,,1,4
46,4.030,REV ECON STUD,13,0,0,0,0,0,0,0,2,1,,0,10
47, ,FORESIGHT INT J APPL,12,0,1,5,0,0,1,1,0,0,,3,1
