"Mbb1","Mbb2","MCh1","MCh2","VSAg","VSAng","VSEg","VSEng","PD:J-M(I","PD:A-J(I","PD:J-M(D","PD:A-J(D","FECa","FECt","Dffr","Dhge","GL(E","GL(O","BSNS","BSES","KEs1","KEs2","KEf1","KEf2","ERSF","ERGM","S:17t1","S:18t1","F:hi","F:ci","R2as","R2:t","Bll1","B2()","E:ff","E:vf"
-2.8676298,3.2477013,-1.6691544,4.3192424,395.65252,271.12291,265.77826,0,185,149,950,937,1.4404,-74.849,-5.9414955,18.486037,17390,7474,0.0164,-0.0478,-34,-910,-34,-910,0.14550746,1.4215,58,49.2,-0.14468,0.077596,0.80914798,0.54410528,0,0.049,1.0112465,-0.93502246
-2.7762171,3.1855893,-1.3036331,4.212771,478.82249,273.91249,267.00148,0,144,119,989,923,0.54039,-62.849,-5.9414955,18.486037,17382,7472,-0.0659,-0.0794,180,524,143,184,0.14619883,1.4335,62.6,60.8,0.94048,-1.1231,0.77104422,0.74624647,0,0.063,1.0112465,-0.93502246
-2.6894298,3.1842863,-0.93868982,4.0366576,490.46293,286.53026,266.98552,0,130,115,1041,865,-0.75961,-70.849,-5.9414955,18.486037,17401,7492,-0.0536,-0.0555,462,-3124,342,575,0.14662757,1.4355,55.7,46.4,-1.0403,-1.1024,0.74081908,0.90506886,0,0.058,-0.99155569,-0.96263769
-2.6382777,3.2081674,-0.70513747,3.8915473,487.41583,288.52889,266.80279,493.77074,146,209,1104,887,-3.8596,-62.849,-5.9414955,18.486037,17402,7510,-0.0934,-0.0536,820,-3961,575,-6268,0.1468968,1.4375,85,32,0.95769,-1.1013,0.70727663,0.98059666,0,0.072,1.0390632,0.98423615
-2.5484719,3.2770316,-0.37140716,3.6711266,427.47354,285.10359,267.54517,490.73653,216,234,1080,896,-2.8596,-54.849,-5.9414955,18.486037,17398,7509,-0.0798,0.0203,1151,-792,888,-2644,0.14700478,1.4398,94.8,38.2,-1.0389,-1.0989,0.72799879,1.0724938,-0.02,0.066,0.9973382,0.98423615
-2.4128657,3.3377538,-0.03165147,3.464814,321.69882,279.66911,268.32749,480.04269,230,214,1046,894,-2.9596,-10.849,-5.9414955,18.486037,17410,7506,-0.0294,0.0957,1080,-368,1151,-792,0.14678899,1.4375,66.3,67.8,0.9863,-1.0904,0.66262127,1.1997063,-0.04,0.021,1.0390632,0.91519807
-2.2351263,3.3032553,0.32799734,3.2694,252.19359,301.08974,269.02186,453.1683,203,217,1095,940,-3.8596,-18.849,-5.9414955,18.486037,17412,7499,-0.0534,0.0769,319,-145,1142,-408,0.14662757,1.4305,75.9,61.3,0.99855,0.89971,0.68757309,1.2861457,-0.082,-0.063,1.0390632,0.95662092
-2.035698,3.1159648,0.68143926,3.0686651,244.49044,303.64003,269.45233,412.4346,215,202,1110,931,-2.6596,-28.849,-5.9414955,18.486037,17409,7487,-0.0633,0.1302,-264,52,666,-242,0.1460387,1.4295,158.6,34.3,0.98714,0.91704,0.71364644,1.2635028,-0.091,-0.167,-1.0193724,0.91519807
-1.8898637,2.937115,0.9094028,2.9221196,240.76951,303.5533,270.21152,320.29547,244,210,968,904,-1.8596,-12.849,-5.9414955,18.486037,17409,7478,-0.1357,0.138,-504,305,36,-96,0.14609204,1.436,85.2,28.9,-1.0378,0.91221,0.72165988,1.3282577,-0.019,-0.072,1.0390632,0.98423615
-1.6391836,2.6032006,1.2478537,2.6839908,230.80698,303.00801,270.11801,273.34969,208,158,997,860,-0.25961,-8.8493,-5.9414955,18.486037,17402,7474,-0.124,0.1328,-596,636,-335,110,0.14619883,1.4317,75.9,14.6,0.98348,-1.0799,0.65910126,1.4348293,0.055,-0.017,1.0529716,-0.83836915
