Domestic Overnight Trips
"Nights (000), Calendar year and Month returned from trip by Stopover state/region/SA2"
Counting: Nights (000)
,,,AAA,AAB,ABA,ABB,ACA,ADA,ADB,ADC,ADD,AEA,AEB,AEC,AED,AFA,BAA,BAB,BAC,BBA,BCA,BCB,BCC,BDA,BDB,BDC,BDD,BDE,BDF,BEA,BEB,BEC,BED,BEE,BEF,BEG,BEH,CAA,CAB,CAC,CBA,CBB,CBC,CBD,CCA,CCB,CCC,CDA,CDB,DAA,DAB,DAC,DBA,DBB,DBC,DCA,DCB,DCC,DCD,DDA,DDB,EAA,EAB,EAC,EBA,ECA,FAA,FBA,FBB,FCA,FCB,GAA,GAB,GAC,GBA,GBB,GBC,GBD
,,Stopover state/region/SA2,Sydney,Central Coast,Hunter,North Coast NSW,South Coast,Snowy Mountains,Capital Country,The Murray,Riverina,Central NSW,New England North West,Outback NSW,Blue Mountains,Canberra,Melbourne,Peninsula,Geelong and the Bellarine,Western Grampians,Lakes,Gippsland,Phillip Island,Central Murray,Goulburn,High Country,Melbourne East,Upper Yarra,Murray East,Mallee,Wimmera,Great Ocean Road,Bendigo Loddon,Spa Country,Ballarat,Central Highlands,Macedon,Gold Coast,Brisbane,Sunshine Coast,Central Queensland,Bundaberg,Fraser Coast,Mackay,Whitsundays,Northern,Tropical North Queensland,Darling Downs,Outback,Adelaide,Barossa,Adelaide Hills,Limestone Coast,Fleurieu Peninsula,Kangaroo Island,Murraylands,Riverland,Clare Valley,Flinders Ranges and Outback,Eyre Peninsula,Yorke Peninsula,Experience Perth,Australia's Coral Coast,Australia's South West,Australia's North West,Australia's Golden Outback,Hobart and the South,East Coast,"Launceston, Tamar and the North",North West,Wilderness West,Darwin,Kakadu Arnhem,Katherine Daly,Barkly,Lasseter,Alice Springs,MacDonnell
,Calendar year,Month returned from trip
,1998,January,3749.4200089999999,1234.1535040000001,1332.6595380000001,4014.9596409999999,3571.2987779999999,282.61354870000002,277.2580087,604.16734789999998,312.51690350000001,610.22978750000004,614.78610119999996,125.776567,235.6109064,612.447811,2022.722563,1393.3591249999999,438.59089460000001,178.0434271,493.30657259999998,630.39843399999995,1019.0510860000001,360.18285350000002,211.7396292,706.89966670000001,17.346197,82.522126600000007,25.132756000000001,334.193646,23.956957800000001,1661.283807,435.45327029999999,96.899866599999996,116.6302986,149.81488830000001,24.576072700000001,2173.2193029999999,2420.4879120000001,1840.9269139999999,231.42553820000001,173.0543456,301.46231990000001,126.01186869999999,203.55725670000001,387.79598199999998,497.29635439999998,194.0969465,110.21721580000001,1460.011313,18.843593299999998,18.964862199999999,555.50103100000001,254.96635649999999,93.939323299999998,181.20930480000001,173.28694659999999,62.647768900000003,170.20581480000001,220.934673,308.04902779999998,1482.3856470000001,316.95594990000001,768.8071698,263.57034169999997,304.14675019999999,847.97357929999998,228.70259100000001,531.59002150000003,195.5124261,46.9571556,46.848027899999998,2.5849229999999999,21.127602700000001,22.672263699999998,19.7768704,9.1651714999999996,10.289907100000001
,,February,1691.664436,245.5651752,610.93983170000001,909.98106040000005,1066.8827699999999,73.108680199999995,160.23868909999999,114.5289827,90.981688800000001,150.85572980000001,174.99080810000001,51.9434112,79.800271899999998,471.262833,1448.680458,312.86062149999998,139.2212787,50.9674105,142.70981080000001,243.5050688,198.54726360000001,130.6898229,40.399211999999999,110.2670016,154.161427,83.5063411,5.6515668000000003,166.56284339999999,6.0839841999999997,342.70588709999998,85.803644800000001,22.7025176,127.140201,31.779219999999999,13.9023649,652.74029210000003,1302.9047820000001,477.66805210000001,217.84213819999999,72.739861700000006,109.3018675,181.12909189999999,102.8429584,218.7600065,181.12956600000001,89.086784899999998,8.2860560999999997,492.1038906,32.758272499999997,0,110.7026355,219.8787485,12.9585992,27.334969699999998,51.948752900000002,27.6295605,72.089850400000003,154.3720916,122.7049126,850.67174339999997,95.385932100000005,370.53123049999999,360.12888700000002,155.08263600000001,227.80270350000001,149.62448069999999,258.56947170000001,93.882862399999993,28.023032600000001,44.456175500000001,5.6873908999999996,11.8155039,1.1998002000000001,4.7060874000000004,5.2964593999999998,0.52289859999999999
,,March,1878.0942769999999,248.19799570000001,497.91222620000002,1199.2255929999999,1179.847256,155.64628279999999,191.6963671,277.47455669999999,139.30690670000001,337.22068150000001,376.72769749999998,114.00991500000001,105.5547847,430.19881550000002,1393.4740380000001,225.49747930000001,115.975191,76.302902399999994,185.49889160000001,283.04511459999998,185.9099405,312.53182729999997,168.65424490000001,243.18890930000001,43.592337700000002,95.141230100000001,24.8966086,177.87505160000001,23.070976300000002,438.01511920000002,112.950383,72.990573400000002,105.2135775,72.799316899999994,4.4379837999999996,918.01424880000002,1588.1252239999999,731.96564839999996,122.2431646,70.091506199999998,171.340926,122.7493321,41.129910799999998,212.79235449999999,291.92962269999998,314.5789221,132.7158029,834.76160689999995,20.378657100000002,3.5495909000000001,97.605332599999997,159.13376679999999,36.837176999999997,48.394844800000001,48.003439299999997,15.678321800000001,46.114534499999998,53.277904999999997,161.46882210000001,742.72155050000003,82.308707600000005,721.56296450000002,87.303886800000001,235.7659859,520.94976980000001,70.019083800000004,172.20550679999999,114.0671937,28.969208900000002,204.12740310000001,17.247261699999999,32.8530187,3.9733554999999998,0.88945339999999995,17.395195900000001,0
,,April,2218.4864889999999,409.49399369999998,1608.1195560000001,2067.4735089999999,1092.2448099999999,190.09355249999999,328.25039240000001,332.20691529999999,176.10343349999999,642.24836240000002,461.04101379999997,427.407691,176.765446,502.40447210000002,1260.153051,195.2796792,277.00941899999998,102.7061267,371.44161309999998,423.15025800000001,124.6775344,234.7510796,91.786639399999999,421.80770239999998,105.6865181,115.0466823,42.949826100000003,421.11326439999999,51.427854199999999,544.36922579999998,133.26049080000001,59.864284300000001,81.044401699999995,137.21314050000001,51.309828000000003,1075.5774469999999,1091.81151,935.45751570000004,212.77701569999999,84.379575500000001,193.6754727,283.43884359999998,246.49677689999999,142.23140789999999,354.59632720000002,219.80043979999999,136.679541,844.22308510000005,24.020328899999999,20.283976800000001,125.0756724,158.50897219999999,2.9868437000000001,54.148541399999999,150.06895929999999,40.338113800000002,99.345786599999997,159.26128940000001,187.3358083,706.6644192,271.22173959999998,584.03539639999997,116.8164118,301.82559479999998,388.43020410000003,114.6099123,156.60306080000001,135.06740429999999,42.567232199999999,148.20866939999999,25.497904599999998,5.3555210000000004,0,15.282432,42.4218677,13.2700932
,,May,2162.8274769999998,232.02839030000001,543.00189069999999,1076.5124029999999,931.92061409999997,203.5765538,264.54729309999999,233.87465610000001,354.7938628,355.71013060000001,395.42253060000002,233.07854029999999,148.2597135,338.31747280000002,1451.256623,183.13897750000001,129.46829890000001,74.804070100000004,259.08183450000001,163.807143,112.83426,138.07489960000001,86.538328800000002,314.3594099,32.032689900000001,72.478903799999998,51.510397099999999,170.40637950000001,44.256918400000004,235.21783550000001,121.325453,25.412152500000001,59.088318600000001,42.190767299999997,68.073808999999997,619.89102800000001,940.60561719999998,694.69849090000002,394.87736560000002,216.04074840000001,118.38595669999999,129.0808882,135.40153860000001,143.79750300000001,404.16464719999999,245.85617110000001,181.61475870000001,554.56341229999998,67.706633600000004,131.3659772,94.187407899999997,105.84322419999999,10.453667899999999,34.879290400000002,56.341121200000003,49.0622033,130.652007,64.387966300000002,103.4866495,721.34136980000005,232.3071626,351.23677850000001,1166.079894,148.20297840000001,246.07920390000001,49.3737219,179.80792120000001,59.264949999999999,16.8512615,120.9264179,66.902239600000001,26.250859999999999,6.3000166999999996,22.8151197,96.589699999999993,0.73428890000000002
,,June,1748.31638,190.97315979999999,507.11745189999999,1322.243551,442.2712818,149.65592090000001,169.33501340000001,280.3352233,327.95933760000003,243.27556060000001,204.55920359999999,97.008297400000004,92.926226999999997,236.29440460000001,1401.2006140000001,210.63602789999999,92.302352400000004,40.485531000000002,128.76479860000001,87.344106600000003,156.8385519,124.83902070000001,150.7492025,209.2281236,10.092458000000001,4.4144661999999997,4.0978928000000003,73.7866164,54.996348099999999,175.0400061,220.88747459999999,43.630583999999999,88.4470843,56.366240599999998,12.1878704,959.64081320000003,937.94769289999999,531.05657299999996,371.54663909999999,99.346704000000003,233.35364530000001,94.463099400000004,149.68998690000001,364.37783769999999,328.83959340000001,329.35173759999998,496.24665399999998,416.34409649999998,66.228066400000003,0,62.578597199999997,118.2575604,0,67.809779399999996,78.258886200000006,32.063459000000002,221.8461657,85.269904699999998,62.5831345,726.92302470000004,140.49491610000001,284.16489890000003,188.0482097,107.6510018,241.74184349999999,81.836601999999999,140.22974740000001,129.78743080000001,10.4441965,239.6910135,157.41325130000001,251.2029441,21.070375500000001,54.343433400000002,75.975837900000002,5.0565981999999998
,,July,2330.849185,286.05100249999998,559.54414710000003,1124.4547769999999,692.93777939999995,607.52722070000004,164.01241039999999,220.78501059999999,108.761177,391.0896358,236.40640479999999,157.58347649999999,267.84355479999999,370.55448360000003,1514.254252,203.57413020000001,130.09694039999999,52.939712800000002,214.70928910000001,207.76769590000001,23.176875599999999,132.7279011,208.1951493,356.97729759999999,55.278658900000003,42.359998699999998,10.213920699999999,192.21452110000001,28.704048199999999,229.14876419999999,93.564064999999999,51.430300500000001,101.45343889999999,90.234994799999996,0,1471.933544,1249.8228469999999,1079.829281,338.53809810000001,306.88586370000002,269.48977819999999,194.92703779999999,43.193697100000001,159.05782049999999,599.64612639999996,290.15847530000002,216.78078790000001,888.68784370000003,22.4280428,22.849957100000001,112.0399199,162.14418209999999,9.2391874999999999,49.996371000000003,45.170175800000003,6.8343448999999996,282.24299009999999,100.1139932,30.632237100000001,1030.1947319999999,507.08961149999999,333.56896690000002,665.79247190000001,365.01496159999999,270.90540879999998,24.599416300000001,65.208864800000001,57.219607000000003,5.7256220000000004,495.27832899999999,40.117476699999997,146.06972859999999,37.232018099999998,67.184971700000006,243.93691380000001,37.881137600000002
,,August,2168.9216860000001,244.2949078,408.0017914,938.48558849999995,620.79979630000003,570.25061519999997,107.3831653,317.98339679999998,297.347399,325.19614680000001,320.97709889999999,153.6069698,127.79844319999999,379.35431920000002,1327.333069,138.73038159999999,122.5762263,38.464768800000002,116.4106036,178.3962263,76.878464699999995,52.209949600000002,48.959296799999997,483.0097275,23.938214899999998,44.177841299999997,35.880399099999998,206.35568649999999,45.098518800000001,238.40273010000001,44.814772900000001,63.528228900000002,43.566254499999999,74.738012800000007,22.3797499,1278.237185,1227.568673,855.70217720000005,272.48547070000001,68.473629399999993,280.48497559999998,216.81333000000001,198.0707166,766.91008160000001,1196.795539,277.20732520000001,496.8330052,620.71314059999997,15.715469799999999,3.1095560999999998,63.690710899999999,27.4340349,25.682676699999998,22.320937099999998,59.8913175,35.009526000000001,80.195149400000005,101.52652860000001,145.80973729999999,922.35736610000004,374.51865240000001,360.20293859999998,507.2196146,225.71694249999999,105.0440462,41.985132499999999,102.06228609999999,41.2851578,25.455822399999999,748.34709599999996,978.00817070000005,97.184416999999996,70.117633499999997,44.331444599999998,110.1938413,41.657319600000001
