"MEASURE","Measure","MONTH_OCCURENCE","Month of occurence","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Births","7","July","5","Western Australia","A","Annual","1975","1975",1773,,
"1","Births","7","July","5","Western Australia","A","Annual","1976","1976",1826,,
"1","Births","7","July","5","Western Australia","A","Annual","1977","1977",1801,,
"1","Births","7","July","5","Western Australia","A","Annual","1978","1978",1721,,
"1","Births","7","July","5","Western Australia","A","Annual","1979","1979",1720,,
"1","Births","7","July","5","Western Australia","A","Annual","1980","1980",1801,,
"1","Births","7","July","5","Western Australia","A","Annual","1981","1981",1955,,
"1","Births","7","July","5","Western Australia","A","Annual","1982","1982",1887,,
"1","Births","7","July","5","Western Australia","A","Annual","1983","1983",1956,,
"1","Births","7","July","5","Western Australia","A","Annual","1984","1984",1981,,
"1","Births","7","July","5","Western Australia","A","Annual","1985","1985",1984,,
"1","Births","7","July","5","Western Australia","A","Annual","1986","1986",2040,,
"1","Births","7","July","5","Western Australia","A","Annual","1987","1987",2178,,
"1","Births","7","July","5","Western Australia","A","Annual","1988","1988",2125,,
"1","Births","7","July","5","Western Australia","A","Annual","1989","1989",2128,,
"1","Births","7","July","5","Western Australia","A","Annual","1990","1990",2248,,
"1","Births","7","July","5","Western Australia","A","Annual","1991","1991",2083,,
"1","Births","7","July","5","Western Australia","A","Annual","1992","1992",2122,,
"1","Births","7","July","5","Western Australia","A","Annual","1993","1993",2146,,
"1","Births","7","July","5","Western Australia","A","Annual","1994","1994",2150,,
"1","Births","7","July","5","Western Australia","A","Annual","1995","1995",2147,,
"1","Births","7","July","5","Western Australia","A","Annual","1996","1996",2151,,
"1","Births","7","July","5","Western Australia","A","Annual","1997","1997",2151,,
"1","Births","7","July","5","Western Australia","A","Annual","1998","1998",2134,,
"1","Births","7","July","5","Western Australia","A","Annual","1999","1999",2174,,
"1","Births","7","July","5","Western Australia","A","Annual","2000","2000",1964,,
"1","Births","7","July","5","Western Australia","A","Annual","2001","2001",2094,,
"1","Births","7","July","5","Western Australia","A","Annual","2002","2002",1964,,
"1","Births","7","July","5","Western Australia","A","Annual","2003","2003",2053,,
"1","Births","7","July","5","Western Australia","A","Annual","2004","2004",2219,,
"1","Births","7","July","5","Western Australia","A","Annual","2005","2005",2129,,
"1","Births","7","July","5","Western Australia","A","Annual","2006","2006",2357,,
"1","Births","7","July","5","Western Australia","A","Annual","2007","2007",2517,,
"1","Births","7","July","5","Western Australia","A","Annual","2008","2008",2514,,
"1","Births","7","July","5","Western Australia","A","Annual","2009","2009",2571,,
"1","Births","7","July","5","Western Australia","A","Annual","2010","2010",2570,,
"1","Births","7","July","5","Western Australia","A","Annual","2011","2011",2576,,
"1","Births","7","July","5","Western Australia","A","Annual","2012","2012",2769,,
"1","Births","7","July","5","Western Australia","A","Annual","2013","2013",2845,,
"1","Births","7","July","5","Western Australia","A","Annual","2014","2014",2842,,
"1","Births","7","July","5","Western Australia","A","Annual","2015","2015",2939,,
"1","Births","7","July","5","Western Australia","A","Annual","2016","2016",2840,,
"1","Births","7","July","5","Western Australia","A","Annual","2017","2017",2738,,
"1","Births","7","July","5","Western Australia","A","Annual","2018","2018",2694,,
"1","Births","7","July","5","Western Australia","A","Annual","2019","2019",2682,,
"1","Births","7","July","1","New South Wales","A","Annual","1975","1975",7047,,
"1","Births","7","July","1","New South Wales","A","Annual","1976","1976",6573,,
"1","Births","7","July","1","New South Wales","A","Annual","1977","1977",6719,,
