time,FAIPriceIndex,GDPDeflator,NominalGDPva,NominalRetailGoodsC,NominalFAI,NominalGDP,NominalNetExports,NominalHHC,NominalGovtC,NominalGCF,NominalInvty,AvgNominalWage,logrealHHC,CPI,GFCFPriceIndex,RatioGFCFPrice2CPI,BankLoansTotal,RealGDPva,RealGDP,YER,PCR,GCR,ITR,XTR,MTR,YED,PCD,GCD,ITD,XTD,MTD,YFD,YIN,WIN,GON,TIN,YFN,HICP,CAN_YEN,NFN_YEN,LFN,LNN,UNN,URX,LEN,STN,LTN,COMPR,POILU,PCOMU,YWD,YWDX,YWR,YWRX,LPROD,ULC,WRN,SAX,EEN,EXR,SPREURO,GDPC1,USAPFCEQDSMEI,USAGFCFQDSMEI,USAGFCEQDSMEI,B020RA3Q086SBEA,B021RA3Q086SBEA,LFEMTTTTUSQ647S,DPCCRC1Q027SBEA,CUMFN,IPB50001SQ,LFAC74TTUSQ647S,SLRTTO01USQ661S,WSCNDW01USQ661S,HOHWMN02USQ065S,IPG333SQ,PRMNIG01USQ661S,IPB51200NQ,SLWHTO02USQ189S,A371RX1Q020SBEA,LRHUTTTTUSQ156S,CPALTT01USQ661S,A829RD3Q086SBEA,A006RD3Q086SBEA,A011RD3Q086SBEA,A008RD3Q086SBEA,ULCNFB,ULQEUL01USQ661S,B020RG3Q086SBEA,B021RG3Q086SBEA,OPHNFB,USAHOUREAQISMEI,MABMM301USQ189S,MANMM101USQ189S,CCRETT01USQ661N,IRSTFR01USQ156N,IR3TED01USQ156N,IR3TCD01USQ156N,DPIC96,T5YFFM,T10Y2YM,T10Y3MM,T10YFFM,CPAA,GDPVD,IRL,ITV,MGSVD,PCP,XGSVD,YDRH,SP,PRINTO01,SLRTTO01,JPNCPICORQINMEI,HOHWMN03JPQ661S,BSCURT02JPQ160S,ULQEUL01JPQ661S,LCEAMN01JPQ661S,CCRETT01JPQ661N,CCRETT02JPQ661N,MANMM101JPQ189S,LFACTTTTJPQ647S,LFEMTTTTJPQ647S,LRHUTTTTJPQ156S,ULQELP01JPQ661S,WSCNDW01JPQ661S,JPNPROMANQISMEI,PRMNVG01JPQ661S,PRMNIG01JPQ661S,IR3TCD01JPQ156N,MABMM301JPM189S,SPRJPN01,SPRJPN02,CRUDE_PETRO,CRUDE_DUBAI,NGAS_US,NGAS_EUR,INATGAS,COCOA,COFFEE_ARABIC,COFFEE_ROBUS,TEA_AVG,TEA_COLOMBO,TEA_KOLKATA,TEA_MOMBASA,COCONUT_OIL,COPRA,GRNUT_OIL,PALM_OIL,SOYBEANS,SOYBEAN_OIL,SOYBEAN_MEAL,BARLEY,MAIZE,SORGHUM,RICE_05,WHEAT_US_HRW,BANANA_US,ORANGE,BEEF,CHICKEN,SUGAR_EU,SUGAR_US,SUGAR_WLD,TOBAC_US,LOGS_MYS,SAWNWD_MYS,COTTON_A_INDX,RUBBER1_MYSG,PHOSROCK,DAP,TSP,UREA_EE_BULK,POTASH,ALUMINUM,IRON_ORE,COPPER,LEAD,TIN.1,NICKEL,ZINC,GOLD,PLATINUM,SILVER
1985Q2,-0.006483473,0.009281337,0.059401882,0.064426536,0.086282941,0.059350761,-2.410356146,0.06061986,0.044826702,0.085613744,2.687643573,0.046958902,0.038337433,-0.009280091,-0.002429408,-0.010112453,0.000672182,0.032986388,0.032935267,0.009496655,0.006660529,0.006153337,0.015993579,-0.005236387,-0.003355598,0.008608027,0.008161408,0.007175005,0.008942292,0.00382219,-0.006837192,0.008606309,0.022742624,0.015655265,0.035889367,0.009525269,0.024088059,-0.003210217,0.002874029,-0.004411746,0.0013956,0.001209563,0.003317261,0.000169616,0.001543504,0.098160763,-0.10333,-0.019401229,-0.027250179,-0.007627802,0.007510194,-0.005287056,0.01104372,0.009154911,0.074341944,0.006158611,0.014445702,-0.001541078,-0.00331883,-0.058925609,-0.201490763,0.009115566,0.017694269,0.022117805,0.019602647,-0.002155888,0.047972214,0.001649439,0.021708422,-0.6,0.000694824,0.002364903,0.013363228,0.006585594,0.2,0.003645242,0.007051183,-0.033640457,0.011782079,0.005704235,0.1,0.000121823,0.009647883,0.004095837,0.002269099,0.00177445,0.006029192,0.006234749,-0.003966821,0.004317819,0.003370581,0.009970172,-0.012117733,-0.002947553,-0.013319119,-0.130538872,-0.090971778,-0.080913156,0.019067791,-0.323333333,0.11,-0.01,-0.216666667,0.016130016,0.020412201,-0.035289196,0.020659691,-0.016399579,0.00036557,0.036136949,0.01181187,0.035787268,0.011024133,0.000789974,0.011257536,0.0091,-2,-0.00921438,0.011396135,0.013743143,0.005237286,-0.027987843,-0.000453275,-0.000275648,0,0.020448831,0.007422876,0.011806513,0.034404229,0,-0.047,0.001290024,0.011710804,-0.035289196,-0.015469922,-0.049555451,-0.027991649,0,-0.016821999,-0.039458837,-0.026248226,-0.019753729,-0.083230654,-0.391782802,0.089521452,0.008281621,-0.201984072,-0.18054423,0.109415821,-0.00548247,-0.030901335,0.007113851,-0.077215851,0.008276047,-0.017308665,-0.016561708,0.001594831,-0.064432865,0.038614836,0.397860509,-0.079188997,-0.011928571,0.123869482,0.014493007,-0.182321557,-0.036691415,0.016262345,0.0088024,-0.063369614,0.056414089,-0.048553225,-0.034916265,-0.00290276,-0.229391797,0.00192123,-0.007738883,0,0.07613268,0.012458235,0.082895183,0.090296638,-0.020396537,0.046853648,0.022551572,0.039962121
1985Q3,-0.006104399,0.007124923,0.046176656,0.050247631,0.069904825,0.046199971,-1.182845682,0.048238951,0.036403761,0.055032881,1.128554497,0.044645787,0.029412252,-0.014292288,-0.005238185,0.000237742,0.000173643,0.026361609,0.026384924,0.008429542,0.009280353,0.007008014,0.020546018,0.011626259,0.022718617,0.01026872,0.00774644,0.007967474,0.007340535,0.001189233,-0.021928385,0.009970874,0.024004854,0.021885316,0.029471148,0.013378105,0.025072472,-0.008388442,0.002676929,-0.004979076,0.002135301,0.001781466,0.005779083,0.000322517,0.00277172,-0.61478492,-0.17513,-0.015968183,0.009572974,-0.05427992,0.005662222,-0.012688842,0.006351273,0.008168828,0.060085597,0.013455773,0.02010385,-0.000149077,-0.019795421,-0.077763628,0.43965492,0.015441527,0.026981109,0.008557034,0.026126305,-0.014675097,-0.009711223,0.00369199,0.030842119,-0.5,-0.00142199,0.003888601,0.01173034,-0.014387259,0.06,-0.007348991,-0.002256289,0.031658123,-0.003571557,0.004756549,-0.1,-0.003110669,0.00856263,0.000909466,0.007276713,0.00374658,0.002132632,0.001342958,-0.008130026,-0.000878045,0.012705589,0.005934736,0.003470129,0.010921453,-0.023294854,0.050496164,-0.013522025,-0.020331069,-0.003353628,-0.52,0.016666667,-0.106666667,-0.453333333,0.005891419,0.013121951,-0.426696782,0.029659091,-0.035229641,0.002575334,-0.021417551,0.02742846,0.031638664,-0.00099732,0.014453496,-0.009294585,-0.0044,-5,0.002641355,0.004240289,0.024845999,0.026527421,0.026156156,0.002012984,0.001601144,0,0.011276973,-0.060502994,-0.003527341,0.008558192,-0.017565607,0.0034,-0.002499309,-0.430096782,-0.426696782,-0.005459071,0.005131506,-0.046212843,0,-0.027478697,0.055695356,-0.059162925,-0.138889505,-0.022901764,-0.103497078,0.03283664,-0.042111485,-0.357529888,-0.313897915,-0.155144551,-0.374343668,-0.08947843,-0.239092853,0.040454955,-0.263402488,-0.0903201,-0.228260922,-0.059811744,-0.093888829,-0.182321557,0.115235264,-0.017586385,0,0.074801213,-0.029199155,0.336472237,-0.030411092,-0.013439557,-0.007280346,-0.124229,-0.043110124,0,0.031970755,0.053761177,-0.273537565,-0.033173774,-0.072783203,0,-0.04667361,0.052370636,0.04405956,-0.133388949,-0.17886269,0.012071122,0.075979386,-0.037211087
1985Q4,-0.00584898,0.00496851,0.0345792,0.037945795,0.056333893,0.034667883,0.044664782,0.03742954,0.028809512,0.029009319,-0.430534578,0.042539508,0.020487071,-0.010916394,-0.004416686,0.007663052,-0.001735269,0.020990083,0.021078766,0.005944167,0.007339365,0.009010543,0.011833222,0.001414749,0.002912179,0.009632135,0.008260262,0.007725967,0.010574131,-0.004076196,-0.017777191,0.009331529,0.020336664,0.01744845,0.026507479,0.010913882,0.021272944,0.003274108,-0.000552798,-0.008583498,0.002902488,0.002714454,0.00483294,0.000171343,0.003518836,-0.718832424,-0.37859,0.040813803,0.037990287,0.045049079,0.006887444,-0.016497186,0.009695677,0.006807958,0.029334762,0.011504284,0.014733996,-0.003116112,-0.034238613,-0.083316769,0.340242424,0.0074702,0.009359993,0.019179721,0.017045867,0.029506052,0.038462921,0.007778524,0.007619001,0.1,0.005887031,0.005878067,-0.00878483,0.070176773,0.24,0.003605697,0.007677073,-0.002828192,0.010426211,0.008703275,-0.2,0.004172927,0.009108327,0.008273028,0.012278985,0.004387704,0.014549311,0.013000183,-0.002459415,0.019323891,0.004342932,0.007858587,-0.006384063,-0.006364115,-0.047529911,0.043243303,0,0.00512165,0.011418115,-0.743333333,-0.21,-0.64,-0.78,0.022413284,0.013046103,-0.034391744,0.002686077,-0.002068158,0.001628706,-0.002106173,0.011751984,0.001188199,0.000332632,0.002462148,0.005387862,-0.001,-8,-0.008859507,0.007027436,0.118406491,0.116845182,0.001771228,0.00095475,-0.001032702,0.2,0.014234614,0.064581594,0,0.000370439,-0.015243091,0.89,0.004466617,-0.924391744,-0.034391744,0.031110899,0.022145796,-0.054142299,0,-0.031564746,0.030283497,0.204459937,0.208713286,-0.086660438,-0.103589036,-0.152980952,0.021277398,-0.141402632,-0.202524264,-0.01558878,-0.121386643,-0.02048929,-0.124477419,0.145301065,-0.032171892,-0.030553558,0.047313336,0,0.052196094,-0.269663567,-0.263044768,0.048790164,0.015873349,0.04405999,-0.061087692,0.223143551,-0.02153099,0.101680848,0.05456942,-0.1665732,-0.022272636,0,0.015610073,0.108248902,-0.034289073,-0.069843573,-0.018708399,0,-0.027623897,-0.033077433,-0.183335636,-0.164084399,-0.134979657,-0.001752397,0.113607004,-0.003853569
1986Q1,-0.005701534,0.002812097,0.024090852,0.026922692,0.044719007,0.024240875,1.272175246,0.027723734,0.021823191,0.005156901,-1.989623654,0.040613444,0.01156189,0.006175525,0.002835571,0.00386732,0.002590124,0.016480684,0.016630706,-0.0034173,0.003434849,0.003259556,-0.009756169,-0.015624506,0.003672232,0.01240671,0.005801415,0.008252035,0.003618339,-0.012371467,-0.045451553,0.009901366,0.014820915,0.016494184,0.007256903,0.037068387,0.012594638,-0.000389261,0.001112208,-0.010514837,0.002865158,0.002763307,0.0039091,9.28E-05,0.003770932,0.120648155,-0.524025,-0.254882865,-0.466250807,0.062169047,0.002039288,-0.029793058,0.00810147,0.005248224,-0.056054389,0.019911485,0.013730877,0.003367132,-0.051309189,-0.078849429,-0.644673155,0.009227837,0.015643095,0.008323922,0.007856382,0.030962475,-0.000925751,0.006569562,0.020625555,0.6,0.005864821,0.005174155,0.005865119,0.039758708,-0.07,0.004814124,0.027056801,0.026898138,-0.015386526,0.007645863,0,-0.005066876,0.004158485,0.004829022,0.01243497,0.002567769,0.002929174,0.003471365,-0.005299562,0.0018651,0.011707772,0.005853675,6.74E-05,-0.006664287,-0.052996118,-0.100401717,-0.030153038,-0.03244931,0.012395111,-0.796666667,-0.446666667,-0.916666667,-0.926666667,0.005963857,0.003584875,-0.62160399,-4.10E-05,-0.001527311,0.003361719,-0.0531401,-0.00448122,0.062419022,-0.002996576,0.000892082,-0.008720216,-0.006,-11,0.013383099,0.005586607,0.074820016,0.074840992,-0.012138553,0.005293182,0.006351407,-0.1,-0.002381787,0.048857846,-0.002358492,-0.01492565,0.002775548,-1.06,-0.003677515,0.43839601,0.37839601,-0.442878483,-0.436285657,-0.045230175,0,-0.041862723,-0.055488686,0.358053937,0.249762838,-0.047422679,-0.002954212,-0.176772334,0.076961041,-0.206250914,-0.169143464,-0.334588701,-0.244120153,0.040567185,-0.118147268,0.073427469,0.07095265,-0.002529985,0.018045023,0.09393615,-0.001814379,0.373204246,-0.14242034,0.003067487,0,0.042200354,0.075793839,0.082238098,0.064628609,0.104084016,0.056539618,0.086750926,0.039740329,0,0.015370139,0.004932192,-0.082791961,-0.061422813,0.139169836,-0.011359456,0.029429269,-0.065450473,-0.305228608,-0.017814408,-0.019140602,0.062799197,0.148082983,-0.035367144
1986Q2,0.004127711,0.00285486,0.027455824,0.028470228,0.043092948,0.027598318,1.583629777,0.027261752,0.021853737,0.011655309,-1.198314883,0.03216826,0.012800937,-0.012986791,-0.009820702,0.007539394,0.00242814,0.019788721,0.019931215,0.018169234,0.017906363,0.008645321,0.026130785,0.017536884,0.036997543,0.009375662,0.004102062,0.005483264,0.00720124,-0.010873987,-0.048193292,0.008344087,0.031734376,0.017479109,0.050387349,0.03437426,0.031466569,-0.003956087,0.001205423,-0.013852086,0.002648437,0.002284335,0.00637066,0.00033166,0.003502783,-0.720226494,-1.168165,-0.208013878,-0.328033699,-0.027984147,0.004741667,-0.008868578,0.007283879,0.014732714,0.144768505,-0.000690127,0.015194775,-0.007064366,-0.002250547,-0.038154924,-0.447938506,0.004575787,0.009968493,0.011985162,0.021565669,0.0107653,0.041688798,0.004322277,0.019155227,-0.3,-0.005854264,0.00630015,0.013072082,-0.01094028,-0.07,-0.009502939,-0.00347111,-0.029381737,-0.005699224,0.003678729,0.2,-0.010175103,0.004391011,0.008056245,0.010352938,0.006522929,0.003127852,0.006087047,-0.005315227,-0.031449882,0.007670235,0.001943635,0.011393507,0.016735113,-0.046928716,-0.077817022,-0.124823065,-0.129393715,0.013193855,0.15,-0.163333333,-0.16,-0.046666667,0.004867832,-0.002602477,-0.670458667,0.028105554,0.061419777,-0.00125402,0.020804676,0.004416848,0.159493255,0.000333397,-0.000605219,0.011974984,0.0047,-12,-0.002218116,-0.002789402,0.085539812,0.096585055,0.018754885,-0.000233178,-0.001027221,0.1,-0.001403706,-0.017064731,0,-0.006033201,0.003640339,-1.35,-0.001557208,0.679541333,-0.170458667,-0.351457192,-0.478754293,-0.125461695,0,-0.070127302,-0.136538914,-0.138412371,-0.164011945,0.059975145,-0.142873286,0.226263679,-0.009794398,-0.274649307,-0.284665479,-0.059938798,-0.182782493,-0.020077895,-0.154833973,-0.025090922,-0.118925773,-0.00462815,0.008437118,-0.137697644,-0.102402641,0.078780878,0.14242034,-0.059954861,0.007843177,0.040491361,0,0.254234138,-0.015442504,-0.04084016,-0.022116765,-0.161339783,-0.004338402,0.012361097,-0.061936254,-0.053042736,-0.081095894,-0.009090972,0.031730143,0,-0.000567052,0.054262859,-0.336146538,-0.001268785,0.14495177,-0.006347191,0.091928005,-0.128482933
1986Q3,0.004042403,0.002897622,0.030535349,0.029869082,0.041589082,0.030669281,1.895084307,0.026816598,0.021872244,0.017929573,-0.407006113,0.024471003,0.014039985,0.012194947,0.002545266,-0.003600057,-0.0011031,0.022813052,0.022946985,0.005067299,0.007312085,0.006184241,0.01422324,0.004835495,0.025199118,0.007572097,0.004744716,0.007116556,0.002958806,-0.007175172,-0.035250494,0.006383612,0.015890207,0.015914295,0.014067509,0.023417371,0.015122315,-0.001177676,0.006867888,-0.009254163,0.00327163,0.003261926,0.00337062,8.84E-06,0.003056372,-0.275052437,-0.194475,-0.029918888,-0.031183775,-0.028021558,0.005465771,-0.018684266,0.006516928,0.00664526,0.01659944,0.010846997,0.012652369,0.000378564,-0.035519487,-0.054675267,0.080577437,0.01002655,0.022926014,0.013681116,0.021110392,0.02264716,0.027326942,0.006971594,0.028635723,0.2,0.003684623,0.005259587,0.029852963,-0.065674618,0.04,-0.019795004,0.000386274,0.028398079,0.017139879,-0.002123837,-0.2,0.011168401,0.008634578,0.004317536,0.013030542,0.006504536,0.007475981,0.006539176,-0.005697518,0.0069146,0.004822718,0.001939865,-0.001418582,0.003160861,-0.032756515,-0.161159772,-0.106645863,-0.104360015,0.007047715,0.236666667,0.236666667,0.346666667,0.416666667,0.012407577,0.005884326,0.257974148,0.014274689,0.031597899,-0.001761823,-0.022783659,0.004899845,0.138129853,-0.00300458,0.006503792,-0.009918773,-0.0084,-15,0.006476229,0.004181191,0.069624833,0.07960624,-0.003668482,0.005481923,0.004563057,0,0.001263424,0.062235834,-0.002364067,0.000661657,0.001452433,-0.0667,0.003071405,0.324674148,0.257974148,-0.001869908,0.03379738,-0.099549271,0,-0.052827816,0.080969063,-0.118244737,0,0.064408575,0.023609866,0.116050834,0.017561427,-0.10197243,-0.077202034,-0.043472162,-0.145657572,-0.056149471,-0.168446964,0.016201975,-0.203560567,-0.339582539,-0.371012782,-0.015257661,-0.151560059,-0.209973088,0.235456812,-0.021364822,0.175134332,0,0.007272759,-0.365459773,-0.015833903,-0.058265562,-0.03148431,-0.129211731,0.08737363,0.024273036,-0.130926848,-0.156964839,-0.078331843,-0.075865751,-0.015400834,0,-0.065895751,0.01263031,-0.021420638,-0.058382683,0.138595916,0.108200833,0.225030264,0.028820439
1986Q4,0.003910246,0.002940384,0.03331856,0.031122667,0.040194041,0.033443202,2.206538838,0.026387327,0.02187945,0.023870666,0.384302657,0.017306306,0.015279033,0.008695787,0.001476971,-0.011863004,-0.005250186,0.025542789,0.02566743,0.00247333,0.007579266,0.006979808,0.008830365,-0.006822447,0.002500276,0.006016329,0.006497419,0.006034576,0.007283721,0.002202919,-0.005573342,0.00628273,0.01098982,0.013549485,0.010565744,-0.001610691,0.012271695,0.000727183,-0.006544805,-0.015498264,0.00402123,0.003678017,0.007515655,0.000312519,0.004567091,0.12143232,0.06928,0.095104153,0.170388932,-0.017823016,0.00429817,-0.010727198,0.010088657,0.005427097,-0.011079779,0.011076154,0.009871469,-0.004470909,-0.035945967,-0.024867481,-0.05215232,0.005164772,0.012348349,0.007682496,0.006938912,0.036592203,0.00768609,0.004735519,0.013713059,0.7,0.011300757,0.003474168,0.002797205,-0.02668358,0.03,-0.014990654,0.01380743,-0.00594198,0.014495253,-0.001800623,-0.2,0.000751921,0.012991406,0.004434718,0.011234631,0.004550715,0.01559662,0.013916082,0.00790727,0.012342886,-0.002440819,0.003868477,-0.002772225,0.001031481,0.001633496,0.15971364,-0.022765211,-0.028742469,0.001797793,-0.233333333,0.13,0.136666667,-0.103333333,0.001667389,0.00811037,0.321184636,0.017094253,-0.002491607,-0.000944884,-0.001358272,-0.00129487,0.001200502,-0.00066879,0.004616189,0.00463388,-0.0057,-18,-0.000490396,0,-0.03965567,-0.043979528,0.005513296,0,0.000511404,0,0.007407959,0.043443819,-0.001184133,-0.02071772,0.002319514,-0.0567,-0.001505779,0.377884636,0.821184636,0.16433546,0.228566885,-0.016965534,0,-0.00873368,-0.037191028,-0.148486508,-0.022666918,0.058673402,0.290178953,0.001386002,-0.009718249,0.511413686,0.485340941,0.005462836,0.328440065,-0.009950331,0.084649208,-0.034517505,0.255329772,-0.063790821,0.047553776,-0.046775544,0.030579506,-0.098117856,-0.192160006,0.062772012,-0.029952322,-0.048790164,0.014388737,0.111225635,0.054880825,0.047886093,0.024827869,0.318801981,0.019724505,0,-0.07686856,0.009063506,-0.027536158,-0.106455806,-0.008969842,0,-0.009761084,0.190317545,0.109600315,-0.05241629,0.004081148,0.0588435,-0.002959649,0.043243303
1987Q1,0.003736394,0.002983147,0.035802257,0.032235826,0.038896343,0.035917163,2.517993368,0.025973066,0.021876061,0.029389263,1.175611427,0.010500251,0.01651808,-0.007247146,-0.004491059,-0.008621492,-0.015737966,0.027974708,0.028089614,-0.00481082,0.001764377,0.009527519,-0.016590791,-0.00487132,0.022951449,0.00565604,0.005312896,0.004557052,0.006713189,0.000385504,0.005134886,0.003830843,0.00313005,0.011716603,-0.01323359,0.022841429,0.001116874,0.005675467,0.001098555,-0.006461554,0.002527627,0.002213215,0.005717077,0.000286199,0.002436694,0.230579397,-0.001726,0.113991141,0.195743672,-0.008637655,0.007594629,-0.012629535,0.004165533,0.003819555,-0.06433652,0.016527424,0.009503388,0.000647259,-0.027741144,-0.079939487,-0.232305397,0.006966045,0.010864569,-0.006214606,0.011634187,0.000702104,-0.005990713,0.006441217,0.009692609,0.6,0.012988023,0.003293532,-0.015482364,0.028217528,0.3,5.18E-05,0.013869848,0.023062787,0.016013634,0.008158649,-0.2,0.005036361,0.014271304,0.0073837,0.011517491,0.000724771,0.009930139,0.009117875,0.003817874,0.025473112,-0.004899585,0.005774799,-0.006201551,-0.010175016,-0.039423465,-0.119774888,0.037130981,0.037041272,0.008197337,0.033333333,-0.143333333,-0.27,-0.023333333,0.013573762,-0.000209567,-0.640415336,-0.007185278,-0.017123914,-0.000235723,-0.005777099,0.00266498,0.175086986,0.009324051,0.025252517,-0.008362887,0.0024,-19,0.012834227,0.006930035,0.000574988,8.97E-05,-0.011137211,0.002101728,0.000562243,0.1,-0.001254093,0.030117914,0.009434032,0.018352647,0.005343359,-0.45,0.004529183,-0.190415336,-0.140415336,0.185605632,0.199796187,-0.011472401,-0.343069292,-0.150575876,-0.021649472,-0.301600407,-0.256160838,-0.108633841,0.065161768,-0.126826576,-0.246860078,0.032960486,0.10988963,-0.09385845,0.134538949,-0.005012542,-0.036020843,-0.001850139,-0.077508918,-0.008377164,-0.002286586,0.07549874,0.059618681,0.31563815,-0.088553397,0.057591671,-0.044912557,0.080042708,0.021202208,0.212561442,0.013130313,0.205871712,0.112315356,0.17813453,0.045809536,-0.114192368,0.231844663,0.109562203,0.094386819,0.01089929,0.109047655,-0.037242473,0.057938298,-0.010500819,0.103484227,0.014319923,-0.115285558,0.005184599,-0.007929106,0.006628527
1987Q2,0.000934096,0.005879109,0.045258648,0.046984262,0.053766783,0.045349477,1.46059082,0.037534335,0.028714097,0.048075802,1.296941914,0.024367019,0.016391509,0.003100516,0.004919926,-0.006507925,-0.001107366,0.030009399,0.030100227,0.016707163,0.017144478,0.009140983,0.032736978,0.014796616,0.024127322,0.006686394,0.006782155,0.013143268,0.006764405,0.003911105,0.005879835,0.006925857,0.026013994,0.020705179,0.036354022,0.013122511,0.027335578,-0.002438168,-0.00441632,-0.008108841,0.003061964,0.002715429,0.006564376,0.000315335,0.003202326,0.320473885,0.217735,0.052312422,0.042455132,0.067098356,0.005549566,0.007776532,0.008069658,0.013719664,0.128605083,0.003998017,0.017989751,-0.004319384,0.01628142,-0.022184976,-0.102738885,0.01115704,0.023207793,0.019248824,0.013577232,0.040255915,0.024624011,0.008524254,0.023769682,0.7,0.017625733,0.00450887,0.021053409,-0.088615105,-0.1,0.027374434,0.026078225,-0.01915335,0.026121461,0.004620818,-0.3,-0.000719992,0.011887019,0.003362704,0.008734693,-0.000344498,1.43E-05,0.006032722,0.014585762,0.025880856,0.007162797,0.003831422,-0.007253299,-0.015155921,-0.032512853,0.093380394,0.116549664,0.1198012,-0.009750579,0.78,0.05,1.01,0.72,0.015027408,0.020907302,-1.432027504,0.028476271,0.060415506,0.00562927,0.002538076,0.008587468,0.19363627,0.001986802,0.009145489,0.014077944,0.009,-17,-0.018326719,-0.008321823,0.055981464,0.043546206,0.019054995,0.004239636,0.003570522,0.1,0.017141697,0.08401085,0,-0.003700721,0.009032967,-0.31,0.004750114,-1.122027504,-1.432027504,0.036084959,0.008819263,-0.041222716,0,-0.024145471,0.033115609,-0.052185753,-0.053597186,0.034243023,-0.142921133,0.159527037,0,0.060423839,0.039864599,0.026895685,0.028786107,0.094243676,0.11020314,0.105360516,0.253729744,0.14365503,0.075748583,0.058311307,0.012987962,-0.119664504,0.30830136,0.047456784,-0.043328077,0.066939483,0.020761991,-0.065957968,-0.002561468,-0.02881699,-0.015753829,0.132948472,0.06500483,0,-0.062296811,0.086449674,0.183091084,0.050208696,0.114297205,0,0.087874845,0.285660903,0.001247188,0.147841593,0.105091626,0.101299881,0.117279296,0.33303433
1987Q3,0.00087358,0.008775071,0.05343345,0.059710639,0.066294391,0.053500489,0.403188271,0.04782125,0.034966976,0.064171016,1.418272401,0.037248778,0.016264938,-0.003381208,0.003215299,0.00094499,-0.001445131,0.031096644,0.031163683,0.010681825,0.008566961,0.006357608,0.022921373,0.048670318,0.039636012,0.005071522,0.00552886,0.006928944,0.004865948,0.001759367,0.008692024,0.0037384,0.01768359,0.015812429,0.017127084,0.030476616,0.016372171,-0.001620711,0.003877108,-0.004678979,0.002437001,0.00280669,-0.001299905,-0.000336408,0.004334364,0.064409645,0.783179,0.027045714,0.021885469,0.034786083,0.007681871,0.006813929,0.016389359,0.012195601,0.07317968,0.005130603,0.013005739,-0.003646483,0.004784384,0.018729138,0.718769355,0.009025654,0.020895898,0.019943681,0.007749974,0.042445769,0.019271751,0.006301543,0.023675915,0.9,0.018595125,0.003995532,0.013793322,0.00805023,0,0.021968579,0.020527164,0.051500522,0.020363768,-0.000404482,-0.3,-0.000697492,0.011469274,0.002012208,0.009421747,0.000320743,0.010158447,0.00741153,0.003012106,0.010172622,0.00022604,0.007619084,-0.002255524,-0.016001803,0.012384911,0.070279809,0.00982464,0.017442303,0.018018506,0.28,0.14,0.13,0.34,0.015200153,0.019722476,1.461665208,0.044119985,0.038902339,0.001284747,0.014390772,0.013855585,-0.028582339,0.032864452,0.015453235,-0.010466699,0.003,-13,-0.01215745,0.02203946,-0.040108869,-0.043905208,-0.007927078,0.002466214,0.005078731,-0.2,0.014694142,0.084353707,0.034605529,0.041707618,0.039050515,0.0867,-0.001263619,1.374965208,1.461665208,0.030430127,0.015489177,-0.028457205,0,-0.016329654,-0.001629992,-0.055059777,-0.062952478,0.00197824,0.104821287,-0.043842638,-0.025317808,0.118764259,0.10363489,-0.073859061,-0.080450488,-0.007651147,-0.064860634,0.008298803,-0.09536034,-0.069001897,-0.083360464,0.101741663,-0.051975771,-0.043296806,0.046520016,0.004204631,0,0.021353124,-0.006872879,-0.146603474,-0.005726521,0.228128576,0.119641845,0.131744082,0.083801101,0,0.136687629,0.103256945,0.019048195,0.098117856,0.195432736,0,0.139554341,0.047567376,-0.035022057,0.18685735,-0.036310873,0.017557854,0.006163618,-0.007345032
